Baumnummer;Bereich;Haus-Nr;Genauer Standort;Sicherheitserwartung;Benutzer;Campus;St-Du (cm);St-U (cm);Höhe (m);Kronen-DM (m);Pflanzjahr;nächste Kontrolle;Verkehrssicherheit;Sonstiges;Bewertung Wurzeln;Bewertung Stamm;Bewertung Krone;Art deutsch;Art botanisch;Kronenform;Vitalität;Physiologie;GUID_Baum;Baumfläche;RW;HW;Kontrolldatum;Symptome Wurzeln;Symptome Stamm;Symptome Krone;Maßnahme
1;01;;Messstation;1-höher;SVBüro-Strasser;Nord;30;94;28;7;1970;2019-03;4-nicht verkehrssicher;;0-keine Schäden;0-keine Schäden;0-keine Schäden;Gemeine Kiefer, Föhre;Pinus sylvestris;1-normal;4-abgängig;2-Erwachsener Baum;146a361b-7bf6-4915-b0f9-4c4081490fb0;1.002;3458120,368;5439477,415;13.06.2018;;;;b12-Fällung (3-wichtig) (Baum abgängig)
1;CO;70.02;SW;2-normal;R.Kastner;Ost;42;132;16;6;1980;2019-02;1-verkehrssicher;;0-keine Schäden;0-keine Schäden;0-keine Schäden;Blau-, Stech-Fichte;Picea pungens;1-normal;1-vital;2-Erwachsener Baum;596c0299-f799-4b58-b18f-39e145e412ae;;3458545,022;5431713,44;07.11.2017;;;;
1;00;;Einfahrt Süd;1-höher;SVBüro-Strasser;Nord;29;91;12;6;1990;2019-03;1-verkehrssicher;;0-keine Schäden;0-keine Schäden;1-leichte Schäden;Rotbuche;Fagus sylvatica;1-normal;1-vital;2-Erwachsener Baum;8d693bc0-752a-4f47-bb80-4f4866601ff9;;3458298,51212563;5439393,76647539;06.06.2018;;;12-ungünst. Kronenaufbau;
2;CO;70.01;SW;1-höher;R.Kastner;Ost;51;160;17;6;1970;2019-02;1-verkehrssicher;;1-leichte Schäden;0-keine Schäden;0-keine Schäden;Gemeine Kiefer, Föhre;Pinus sylvestris;1-normal;1-vital;2-Erwachsener Baum;a19b0270-162b-46a0-b7db-a74eb1e883de;;3458531,479;5431695,848;07.11.2017;08-Belagsanhebung;;01-Verletzung;
2;01;;Messstation;1-höher;SVBüro-Strasser;Nord;30;94;25;6;1970;2019-03;4-nicht verkehrssicher;;0-keine Schäden;3-erhebliche Schäden;3-erhebliche Schäden;Gemeine Kiefer, Föhre;Pinus sylvestris;4-reduziert;5-abgestorben;4-Schadbaum;138c9d94-2844-46d5-aa5f-5026d30e6a3a;1.002;3458116,453;5439477,944;13.06.2018;;01-Verletzung;08-Wipfeldürre;b12-Fällung (3-wichtig) (Baum abgestorben )
2;00;;Bushaltestelle ;1-höher;SVBüro-Strasser;Nord;38;119;17;8;1985;2019-03;1-verkehrssicher;;0-keine Schäden;1-leichte Schäden;0-keine Schäden;Weiss-/Sandbirke;Betula pendula;1-normal;1-vital;2-Erwachsener Baum;de60c357-95ce-4558-88f3-74ebc0cbe18c;;3458315,64025128;5439496,2999509;06.06.2018;;01-Verletzung;;
3;00;;Bushaltestelle ;1-höher;SVBüro-Strasser;Nord;32;101;16;6;1985;2019-03;1-verkehrssicher;;0-keine Schäden;0-keine Schäden;1-leichte Schäden;Weiss-/Sandbirke;Betula pendula;1-normal;1-vital;2-Erwachsener Baum;235170b2-f3da-4478-ae4f-6fcfef39fa73;;3458315,87012564;5439507,05047545;06.06.2018;;;01-Verletzung;
3;CO;70.01;SW;1-höher;R.Kastner;Ost;31;97;17;5;1970;2019-02;1-verkehrssicher;;0-keine Schäden;0-keine Schäden;1-leichte Schäden;Gemeine Kiefer, Föhre;Pinus sylvestris;2-einseitig;2-geschwächt;2-Erwachsener Baum;2e1e0200-8ec8-4d30-8783-f1f211ae58a7;;3458529,376;5431698,862;07.11.2017;;;01-Verletzung;
3;01;;Messstation;1-höher;SVBüro-Strasser;Nord;30;94;28;7;1970;2019-03;4-nicht verkehrssicher;;0-keine Schäden;0-keine Schäden;0-keine Schäden;Gemeine Kiefer, Föhre;Pinus sylvestris;1-normal;4-abgängig;2-Erwachsener Baum;bda546f1-716e-4cde-89bf-378e2564f6aa;1.002;3458112,538;5439476,78;13.06.2018;;;;b12-Fällung (3-wichtig) (Baum abgängig)
4;01;;Messstation ;1-höher;SVBüro-Strasser;Nord;35;110;30;5;1970;2019-03;4-nicht verkehrssicher;;0-keine Schäden;0-keine Schäden;0-keine Schäden;Gemeine Kiefer, Föhre;Pinus sylvestris;1-normal;5-abgestorben;2-Erwachsener Baum;713a3177-8666-47ab-a588-a05fb3139201;1.002;3458068,777;5439499,26;13.06.2018;;;;b12-Fällung (3-wichtig) (Baum abgestorben)
