"STANDORTNR";"KENNZEICH";"NAMENR";"ART_DTSCH";"ART_BOT";"GATTUNG_DEUTSCH";"GATTUNG";"STRNAME";"HAUSNR";"PFLANZJAHR";"STANDALTER";"KRONEDURCH";"STAMMUMFG";"BAUMHOEHE";"BEZIRK";"EIGENTUEMER";"ZUSATZ";"X_VALUE";"Y_VALUE"
"80/5 -385";195100;Unter den Linden;Winter-Linde 'Greenspire';Tilia cordata 'Greenspire';LINDE;TILIA;Unter den Linden;80;2009;10;1.6;24;6;Mitte;Land Berlin;;390052.1619;5819733.4355
"80ggü/5 -407";195100;Unter den Linden;Kaiser-Linde;Tilia intermedia 'Pallida';LINDE;TILIA;Unter den Linden;80;2012;7;2;24;6;Mitte;Land Berlin;ggü;390052.6844;5819719.8517
"80/4 -384";195100;Unter den Linden;Winter-Linde 'Greenspire';Tilia cordata 'Greenspire';LINDE;TILIA;Unter den Linden;80;2009;10;1.6;24;6;Mitte;Land Berlin;;390059.7428;5819734.0942
"80ggü/4 -406";195100;Unter den Linden;Kaiser-Linde;Tilia intermedia 'Pallida';LINDE;TILIA;Unter den Linden;80;2012;7;2;24;6;Mitte;Land Berlin;ggü;390060.5623;5819720.1398
"80/3 -383";195100;Unter den Linden;Winter-Linde 'Greenspire';Tilia cordata 'Greenspire';LINDE;TILIA;Unter den Linden;80;2009;10;1.6;24;6;Mitte;Land Berlin;;390067.3238;5819734.753
"80ggü/3 -405";195100;Unter den Linden;Kaiser-Linde;Tilia intermedia 'Pallida';LINDE;TILIA;Unter den Linden;80;2012;7;2;24;6;Mitte;Land Berlin;ggü;390068.1566;5819720.8692
"80/2 -382";195100;Unter den Linden;Winter-Linde 'Greenspire';Tilia cordata 'Greenspire';LINDE;TILIA;Unter den Linden;80;2009;10;1.6;24;6;Mitte;Land Berlin;;390074.9057;5819735.4107
"80ggü/2 -404";195100;Unter den Linden;Kaiser-Linde;Tilia intermedia 'Pallida';LINDE;TILIA;Unter den Linden;80;2012;7;2;24;6;Mitte;Land Berlin;ggü;390075.0139;5819721.1767
"80/1 -381";195100;Unter den Linden;Winter-Linde 'Greenspire';Tilia cordata 'Greenspire';LINDE;TILIA;Unter den Linden;80;2009;10;1.6;24;6;Mitte;Land Berlin;;390082.5868;5819736.0785
"80ggü/1 -403";195100;Unter den Linden;Kaiser-Linde;Tilia intermedia 'Pallida';LINDE;TILIA;Unter den Linden;80;2012;7;2;24;6;Mitte;Land Berlin;ggü;390083.336900001;5819721.8933
"78/3 -380";195100;Unter den Linden;Winter-Linde 'Greenspire';Tilia cordata 'Greenspire';LINDE;TILIA;Unter den Linden;78;2009;10;1.6;24;6;Mitte;Land Berlin;;390090.1678;5819736.7362
"78/2 -379";195100;Unter den Linden;Winter-Linde 'Greenspire';Tilia cordata 'Greenspire';LINDE;TILIA;Unter den Linden;78;2009;10;1.6;24;6;Mitte;Land Berlin;;390098.2475;5819737.4384
"78ggü/1 -402";195100;Unter den Linden;Kaiser-Linde;Tilia intermedia 'Pallida';LINDE;TILIA;Unter den Linden;78;2012;7;2;24;6;Mitte;Land Berlin;ggü;390111.7592;5819724.0744
"64/1 -5";197100;Wilhelmstraße Mitte;Spitz-Ahorn;Acer platanoides;AHORN;ACER;Wilhelmstraße;64;1997;22;4;23;7;Mitte;Land Berlin;;390121.6873;5819823.5135
"62/3 -4";197100;Wilhelmstraße Mitte;Spitz-Ahorn;Acer platanoides;AHORN;ACER;Wilhelmstraße;62;1997;22;4;23;7;Mitte;Land Berlin;;390124.9032;5819785.2024
"62/2 -3";197100;Wilhelmstraße Mitte;Spitz-Ahorn;Acer platanoides;AHORN;ACER;Wilhelmstraße;62;1997;22;4;23;7;Mitte;Land Berlin;;390125.7283;5819775.3285
"62/1 -2";197100;Wilhelmstraße Mitte;Spitz-Ahorn;Acer platanoides;AHORN;ACER;Wilhelmstraße;62;1997;22;4;24;7;Mitte;Land Berlin;;390126.6651;5819765.1795
"61/1 -1";197100;Wilhelmstraße Mitte;Spitz-Ahorn;Acer platanoides;AHORN;ACER;Wilhelmstraße;61;1997;22;4;23;7;Mitte;Land Berlin;;390127.4756;5819755.6419
"72/1 -22";168500;Behrenstraße I;Spitz-Ahorn;Acer platanoides;AHORN;ACER;Behrenstraße;72;1967;52;8;144;15;Mitte;Land Berlin;;390053.2998;5819543.4771
"77ggü/1 -408";195100;Unter den Linden;Kaiser-Linde;Tilia intermedia 'Pallida';LINDE;TILIA;Unter den Linden;77;2012;7;2;24;6;Mitte;Land Berlin;ggü;390054.5316;5819704.9417
"77/1 -362";195100;Unter den Linden;Holländische Linde;Tilia intermedia;LINDE;TILIA;Unter den Linden;77;2001;18;2.5;30;5;Mitte;Land Berlin;;390055.7491;5819690.6757
