
Fälldatum;Campus;Bereich;Baumnummer;Hausnummer;Art deutsch;Genauer Standort;Art botanisch;Einzelbaum/Gruppe;Anzahl Bäume (Gruppe);Datum Kontrolle;Nächste Kontrolle;Kontrolleur;Verkehrssicherheit;Funktion;Vitalität;Physiologie;O Stamm;Höhe;Ø Krone;Pflanzjahr;Symptom Wurzel;Bewertung Wurzel;Symptom Stamm;Bewertung Stamm;Symptom Krone;Bewertung Krone;Kronenform;Symptom Gruppe;Bewertung Gruppe;Sonstiges;Koordinate X;Koordinate Y
06.12.2019;Nord;01;1257;;Rotbuche;Gebäude 142;Fagus sylvatica;Einzelbaum;0;19.11.2019;2020 Q3;Holzheuer;4-nicht verkehrssicher;1-höher;2-geschwächt;4-Schadbaum;198;24;21;1950;03-Pilzbefall;3-erhebliche Schäden;;0-keine Schäden;01-Verletzung | 08-Wipfeldürre | 09-Blattverfärbung | 11-Astab-/ausbruch;2-deutliche Schäden;3-ausladend;;;Riesenporling am südlichen und nördlichen Stammfuss ;3458218,54437659;5439693,36542669
13.11.2019;Nord;02;2025;;Gemeine Kiefer, Föhre;Kantine;Pinus sylvestris;Einzelbaum;0;19.09.2019;2020 Q2;Zapf;4-nicht verkehrssicher;1-höher;5-abgestorben;4-Schadbaum;148;22;8;1965;;0-keine Schäden;01-Verletzung;1-leichte Schäden;07-Totholz | 08-Wipfeldürre | 11-Astab-/ausbruch | 14-Baumfremder Bewuchs;3-erhebliche Schäden;1-normal;;;Misteln ;3458358,86612569;5439458,22647542
13.11.2019;Nord;02;2142;;Trauben-Eiche;KITA;Quercus petraea;Einzelbaum;0;19.09.2019;2020 Q2;Zapf;4-nicht verkehrssicher;1-höher;3-sehr geschwächt;4-Schadbaum;192;19;16;1960;01-Verletzung | 02-Höhlung;3-erhebliche Schäden;01-Verletzung;1-leichte Schäden;01-Verletzung | 07-Totholz;1-leichte Schäden;1-normal;;;Massiver Weidenbohrer Befall, fast gesamter Stammfuss Rinde abgelöst;3458508,6572517;5439437,54295082
13.11.2019;Nord;02;2294;;Europ. Eibe;Neureuter Straße;Taxus baccata;Einzelbaum;0;16.09.2019;2021 Q1;Zapf;1-verkehrssicher;1-höher;1-vital;2-Erwachsener Baum;41;10;8;1985;;0-keine Schäden;01-Verletzung | 05-V-Vergabelung;2-deutliche Schäden;01-Verletzung;1-leichte Schäden;1-normal;;;mehrstämmig ;3458491,963;5439704,17
13.11.2019;Nord;02;2293;;Spätblühende Trauben-Kirsche;Neureuter Straße;Prunus serotina;Einzelbaum;0;16.09.2019;2021 Q1;Zapf;1-verkehrssicher;1-höher;1-vital;2-Erwachsener Baum;116;12;10;1980;;0-keine Schäden;01-Verletzung;1-leichte Schäden;01-Verletzung;1-leichte Schäden;1-normal;;;2 Bäume (1x SAh);3458489,299;5439703,998
13.11.2019;Nord;07;7003;;Blut-Buche;Gebäude 701;Fagus sylvatica ''Atropunicea'';Einzelbaum;0;10.10.2019;2021 Q2;Zapf;1-verkehrssicher;2-normal;1-vital;2-Erwachsener Baum;91;18;14;1975;;0-keine Schäden;;0-keine Schäden;;0-keine Schäden;1-normal;;;2 stämmig ;3458587,511;5440577,052
07.11.2019;Nord;07;7046;;Winter-Linde;Gebäude 710;Tilia cordata;Einzelbaum;0;11.10.2019;2021 Q2;Zapf;1-verkehrssicher;2-normal;1-vital;2-Erwachsener Baum;50;6;4;2000;;0-keine Schäden;01-Verletzung;1-leichte Schäden;;0-keine Schäden;1-normal;;;;3458443,66;5440641,584
04.11.2019;Nord;07;7044;;Edel-, Esskastanie;Gebäude 713;Castanea sativa;Einzelbaum;0;11.10.2019;2021 Q2;Zapf;1-verkehrssicher;2-normal;1-vital;2-Erwachsener Baum;104;8;10;1985;;0-keine Schäden;;0-keine Schäden;01-Verletzung;1-leichte Schäden;3-ausladend;;;;3458445,57;5440628,427
04.11.2019;Nord;07;7045;;Winter-Linde;Gebäude 713;Tilia cordata;Einzelbaum;0;11.10.2019;2021 Q2;Zapf;1-verkehrssicher;2-normal;1-vital;2-Erwachsener Baum;97;12;9;1985;;0-keine Schäden;01-Verletzung;2-deutliche Schäden;01-Verletzung;1-leichte Schäden;1-normal;;;;3458441,507;5440634,86
15.10.2019;Nord;04;4301;;Berg-Ahorn;Gebäude 9654;Acer pseudoplatanus;Einzelbaum;0;15.05.2018;2019 Q3;SVBüro-Strasser;1-verkehrssicher;1-höher;1-vital;2-Erwachsener Baum;113;17;12;1975;;0-keine Schäden;01-Verletzung | 02-Höhlung;1-leichte Schäden;;0-keine Schäden;1-normal;;;2 Bäume;3458936,413;5439955,213
