Campus,Hausnummer,Baumnummer,Genauer Standort,Art deutsch,Art botanisch,Einzelbaum/Gruppe,Anzahl Bäume (Gruppe),Datum Kontrolle,Nächste Kontrolle,Kontrolleur,Verkehrssicherheit,Funktion,Vitalität,Physiologie,O Stamm,Höhe,Ø Krone,Pflanzjahr,Symptom Wurzel,Bewertung Wurzel,Symptom Stamm,Bewertung Stamm,Symptom Krone,Bewertung Krone,Kronenform,Symptom Gruppe,Bewertung Gruppe,Bereich,Koordinate X,Koordinate Y,Height_DEM,tree_h_pointcloud,crown_height_pointcloud
Nord,,"1014",Parkplatz Einfahrt,Linde,Tilia x,Einzelbaum,,20.09.2019,2021 Q1,Zapf,1-verkehrssicher,1-höher,1-vital,2-Erwachsener Baum,"148","24","12","1960",01-Verletzung,2-deutliche Schäden,01-Verletzung,1-leichte Schäden,,0-keine Schäden,1-normal,,,"01",3458209.351,5439415.687,111.633882854017,14.5117693198961,11.3208695652174
Nord,,"4365",Gebäude 441,Rot-Fichte,Picea abies,Einzelbaum,,24.09.2019,2021 Q1,Zapf,1-verkehrssicher,1-höher,1-vital,2-Erwachsener Baum,"163","22","10","1970",01-Verletzung,2-deutliche Schäden,,0-keine Schäden,,0-keine Schäden,1-normal,,,"04",3458589.03712591,5439991.49947573,110.794720039521,18.3863325920584,14.8247368421053
Nord,,"14",Tramhaltestelle,Gem. Rosskastanie,Aesculus hippocastanum,Einzelbaum,,08.10.2019,2021 Q2,Zapf,1-verkehrssicher,1-höher,2-geschwächt,2-Erwachsener Baum,"123","15","9","1975",,0-keine Schäden,01-Verletzung | 02-Höhlung,2-deutliche Schäden,01-Verletzung,1-leichte Schäden,1-normal,,,"00",3458542.48812585,5440139.65247581,110.490873103579,9.03912689642132,8.25
Nord,,"3076",Gebäude 305,Rot-Fichte,Picea abies,Einzelbaum,,25.09.2019,2021 Q1,Zapf,1-verkehrssicher,1-höher,1-vital,2-Erwachsener Baum,"88","18","7","1985",01-Verletzung,1-leichte Schäden,01-Verletzung,1-leichte Schäden,,0-keine Schäden,1-normal,,,"03",3458305.26012561,5439918.95847569,110.799440295486,14.0924347045141,10.511875
Nord,,"4270",Gebäude 432,Hainbuche,Carpinus betulus,Einzelbaum,,07.10.2019,2021 Q2,Zapf,1-verkehrssicher,1-höher,1-vital,2-Erwachsener Baum,"53","10","5","2005",,0-keine Schäden,11-Stamm- Stockaustriebe,1-leichte Schäden,,0-keine Schäden,1-normal,,,"04",3458752.651,5439828.533,110.942464932731,6.39753506726849,4.53333333333332
Nord,,"4196",Weingartener Straße ,Bunter Eschen-Ahorn,Acer negundo 'Variegatum',Einzelbaum,,27.09.2019,2021 Q1,Zapf,3-wiederherstellbar,1-höher,1-vital,2-Erwachsener Baum,"57","11","11","1995",,0-keine Schäden,01-Verletzung,1-leichte Schäden,01-Verletzung | 07-Totholz,1-leichte Schäden,3-ausladend,,,"04",3458751.59312608,5439919.13147567,110.596084291351,16.3446657086486,13.8865000000001
Nord,,"60",Turm,Japanische Lärche,Larix kaempferi,Einzelbaum,,09.10.2019,2021 Q2,Zapf,1-verkehrssicher,1-höher,2-geschwächt,2-Erwachsener Baum,"151","22","8","1970",01-Verletzung,1-leichte Schäden,,0-keine Schäden,,0-keine Schäden,2-einseitig,,,"00",3458614.05612591,5440427.60147598,110.318277533635,18.9092224663646,17.1975
Nord,,"1054",Fortbildungszentrum,Douglasie,Pseudotsuga menziesii,Einzelbaum,,19.09.2019,2021 Q1,Zapf,1-verkehrssicher,2-normal,1-vital,2-Erwachsener Baum,"163","22","9","1970",,0-keine Schäden,,0-keine Schäden,,0-keine Schäden,1-normal,,,"01",3458202.35812552,5439492.52847545,111.503698184741,16.9701479691049,13.4594871794872
Nord,,"4368",Gebäude 441,Weiss-/Sandbirke,Betula pendula,Einzelbaum,,24.09.2019,2021 Q1,Zapf,1-verkehrssicher,1-höher,2-geschwächt,2-Erwachsener Baum,"141","21","13","1975",,0-keine Schäden,,0-keine Schäden,01-Verletzung | 08-Wipfeldürre,1-leichte Schäden,1-normal,,,"04",3458567.72212588,5439990.30447573,110.624902203626,16.4985593348351,15.8276923076923
Nord,,"4394",Gebäude 441,Tulpenbaum,Liriodendron tulipifera,Einzelbaum,,26.09.2019,2021 Q1,Zapf,1-verkehrssicher,2-normal,1-vital,2-Erwachsener Baum,"138","23","9","1980",,0-keine Schäden,01-Verletzung,1-leichte Schäden,01-Verletzung,1-leichte Schäden,2-einseitig,,,"04",3458576.671,5440034.332,110.928641611938,15.4113583880624,13.3984615384615
Nord,,"6267",Gebäude 688,,,Baumgruppe,"10",10.10.2019,2021 Q2,Zapf,1-verkehrssicher,2-normal,1-vital,2-Erwachsener Baum,"63","11","6","1995",,0-keine Schäden,,0-keine Schäden,,0-keine Schäden,1-normal,,,"06",3458932.20278616,5440533.98911426,110.817708814325,15.2268366402205,14.6063636363636
Nord,,"4086",Gebäude 420,Spitz-Ahorn,Acer platanoides,Einzelbaum,,18.09.2019,2021 Q1,Zapf,1-verkehrssicher,1-höher,1-vital,2-Erwachsener Baum,"110","10","9","1985",,0-keine Schäden,,0-keine Schäden,,0-keine Schäden,1-normal,,,"04",3458909.662,5439728.427,110.592066482505,6.9704335174949,6.35249999999999
Nord,,"6108",Gebäude 630,Spitz-Ahorn,Acer platanoides,Einzelbaum,,07.10.2019,2021 Q2,Zapf,1-verkehrssicher,2-normal,1-vital,2-Erwachsener Baum,"141","17","10","1965",,0-keine Schäden,05-V-Vergabelung,1-leichte Schäden,01-Verletzung | 05-V-Vergabelung,1-leichte Schäden,1-normal,,,"06",3458804.48812613,5440127.1214758,110.353493143221,19.6587290790014,17.3923809523809
Nord,,"118",Ausgang Nord,Linde,Tilia x,Einzelbaum,,22.10.2019,2021 Q2,Zapf,1-verkehrssicher,1-höher,1-vital,2-Erwachsener Baum,"60","9","6","1995",,0-keine Schäden,01-Verletzung,1-leichte Schäden,01-Verletzung,1-leichte Schäden,1-normal,,,"00",3458969.38412623,5441663.87247669,110.086807003103,,
Nord,,"5003",Bahnhaltestelle,Schwarz-Kiefer,Pinus nigra,Einzelbaum,,27.09.2019,2021 Q1,Zapf,1-verkehrssicher,1-höher,1-vital,2-Erwachsener Baum,"126","13","9","1985",,0-keine Schäden,01-Verletzung,1-leichte Schäden,,0-keine Schäden,1-normal,,,"05",3458448.466,5440153.037,110.698451504028,12.7593262737494,10.1788888888889
Nord,,"2280",Neureuter Straße,"Gemeine Kiefer, Föhre",Pinus sylvestris,Einzelbaum,,18.09.2019,2021 Q1,Zapf,1-verkehrssicher,1-höher,1-vital,2-Erwachsener Baum,"113","13","7","1985",,0-keine Schäden,01-Verletzung | 09-Schrägstand,1-leichte Schäden,11-Astab-/ausbruch,1-leichte Schäden,2-einseitig,,,"02",3458586.263,5439692.987,110.15252528658,10.8762982428315,9.7523529411765
Nord,,"3075",Gebäude 305,Douglasie,Pseudotsuga menziesii,Einzelbaum,,25.09.2019,2021 Q1,Zapf,1-verkehrssicher,2-normal,1-vital,2-Erwachsener Baum,"94","19","5","1985",,0-keine Schäden,,0-keine Schäden,,0-keine Schäden,1-normal,,,"03",3458301.666,5439918.592,110.786046383577,14.3629536164229,9.42
Nord,,"2288",Neureuter Straße,Hainbuche,Carpinus betulus,Einzelbaum,,16.09.2019,2021 Q1,null,1-verkehrssicher,1-höher,1-vital,2-Erwachsener Baum,"110","10","6","1995",,0-keine Schäden,,0-keine Schäden,01-Verletzung | 10-Kappung,2-deutliche Schäden,1-normal,,,"02",3458523.23,5439659.11,111.070606041186,3.90939395881361,3.3
Nord,,"2172",Büchenauerstr.,Schwarz-Kiefer,Pinus nigra,Einzelbaum,,02.09.2019,2021 Q1,Zapf,1-verkehrssicher,2-normal,1-vital,2-Erwachsener Baum,"132","15","11","1985",,0-keine Schäden,01-Verletzung,1-leichte Schäden,,0-keine Schäden,1-normal,,,"02",3458641.37012598,5439535.45147545,110.647489643786,10.4763565100599,8.95307692307689
Nord,,"2112",KITA,Schwarz-Kiefer,Pinus nigra,Einzelbaum,,19.09.2019,2021 Q1,Zapf,1-verkehrssicher,1-höher,1-vital,2-Erwachsener Baum,"142","18","10","1975",,0-keine Schäden,01-Verletzung | 05-V-Vergabelung,1-leichte Schäden,,0-keine Schäden,1-normal,,,"02",3458539.56112588,5439405.87247539,110.686057058637,16.0442286556491,13.2771428571428
Nord,,"119",Ausgang Nord,Linde,Tilia x,Einzelbaum,,22.10.2019,2021 Q2,Zapf,1-verkehrssicher,1-höher,1-vital,2-Erwachsener Baum,"69","10","6","1995",,0-keine Schäden,01-Verletzung,1-leichte Schäden,01-Verletzung,1-leichte Schäden,1-normal,,,"00",3458971.04512623,5441668.77147669,110.08952881608,,
Nord,,"2085",Bank,Feld-Ahorn,Acer campestre,Einzelbaum,,20.09.2019,2021 Q1,Zapf,1-verkehrssicher,1-höher,1-vital,2-Erwachsener Baum,"53","4","4","2000",,0-keine Schäden,,0-keine Schäden,,0-keine Schäden,1-normal,,,"02",3458393.309,5439540.313,111.142375673189,2.00762432681135,1.312
Nord,,"2168",Büchenauerstr.,"Gemeine Kiefer, Föhre",Pinus sylvestris,Einzelbaum,,02.09.2019,2021 Q1,Zapf,1-verkehrssicher,3-geringer,1-vital,2-Erwachsener Baum,"72","7","6","2000",,0-keine Schäden,01-Verletzung,1-leichte Schäden,,0-keine Schäden,1-normal,,,"02",3458659.277,5439465.363,110.447785929439,5.13078549913288,4.05999999999997
Nord,,"3086",Gebäude 305,"Gemeine Kiefer, Föhre",Pinus sylvestris,Einzelbaum,,23.09.2019,2021 Q1,Zapf,1-verkehrssicher,2-normal,1-vital,2-Erwachsener Baum,"154","23","12","1955",,0-keine Schäden,,0-keine Schäden,14-Baumfremder Bewuchs,1-leichte Schäden,1-normal,,,"03",3458299.90112561,5439882.22347568,111.116652161483,19.7370213079046,14.655306122449
Nord,,"4",Eingang,"Vogel-, Süss-Kirsche",Prunus avium,Einzelbaum,,16.09.2019,2021 Q1,Zapf,1-verkehrssicher,1-höher,2-geschwächt,2-Erwachsener Baum,"107","10","8","1985",01-Verletzung | 02-Höhlung,1-leichte Schäden,01-Verletzung,1-leichte Schäden,01-Verletzung,1-leichte Schäden,1-normal,,,"00",3458348.17025134,5439611.38195104,110.709693336264,16.0403066637359,14.2833333333333
Nord,,"4156",Gebäude 425,Spitz-Ahorn,Acer platanoides,Einzelbaum,,26.09.2019,2021 Q1,Zapf,1-verkehrssicher,1-höher,2-geschwächt,2-Erwachsener Baum,"119","14","8","1980",,0-keine Schäden,01-Verletzung,2-deutliche Schäden,01-Verletzung | 08-Wipfeldürre | 11-Astab-/ausbruch | 12-ungünst. Kronenaufbau,1-leichte Schäden,1-normal,,,"04",3458716.53912605,5439869.10647565,110.537355709574,12.739310957093,12.2033333333333
Nord,,"1162",Präsidium,"Gemeine Kiefer, Föhre",Pinus sylvestris,Einzelbaum,,17.09.2019,2021 Q1,Zapf,1-verkehrssicher,1-höher,1-vital,2-Erwachsener Baum,"167","19","13","1960",,0-keine Schäden,09-Schrägstand,1-leichte Schäden,01-Verletzung | 14-Baumfremder Bewuchs,1-leichte Schäden,2-einseitig,,,"01",3458367.62912568,5439781.89647561,110.866241486043,17.1625085139566,13.7928125
Nord,,"6168",Gebäude 681,Spitz-Ahorn,Acer platanoides,Einzelbaum,,10.10.2019,2021 Q2,Zapf,1-verkehrssicher,1-höher,3-sehr geschwächt,2-Erwachsener Baum,"101","13","8","1970",,0-keine Schäden,01-Verletzung,2-deutliche Schäden,07-Totholz | 08-Wipfeldürre,0-keine Schäden,1-normal,,,"06",3458680.32525196,5440559.1599521,110.352162448428,11.6978375515721,10.06
Nord,,"6277",Gebäude 693,Spitz-Ahorn,Acer platanoides,Einzelbaum,,10.10.2019,2021 Q2,Zapf,1-verkehrssicher,1-höher,2-geschwächt,2-Erwachsener Baum,"97","12","11","1985",,0-keine Schäden,01-Verletzung,2-deutliche Schäden,01-Verletzung,1-leichte Schäden,3-ausladend,,,"06",3458889.1601262,5440512.25647602,110.709739926512,7.11248229571011,5.61222222222221
Nord,,"6164",Gebäude 681,Spitz-Ahorn,Acer platanoides,Einzelbaum,,10.10.2019,2021 Q2,Zapf,1-verkehrssicher,1-höher,2-geschwächt,2-Erwachsener Baum,"113","15","10","1970",01-Verletzung,2-deutliche Schäden,,0-keine Schäden,01-Verletzung | 08-Wipfeldürre | 11-Astab-/ausbruch,2-deutliche Schäden,1-normal,,,"06",3458675.88712597,5440541.00247604,110.239693665193,13.200306334807,11.71
Nord,,"4075",Karlsruher Allee,Spitz-Ahorn,Acer platanoides,Einzelbaum,,18.09.2019,2021 Q1,Zapf,1-verkehrssicher,2-normal,1-vital,2-Erwachsener Baum,"135","15","12","1985",01-Verletzung,1-leichte Schäden,01-Verletzung | 05-V-Vergabelung,1-leichte Schäden,01-Verletzung,1-leichte Schäden,1-normal,,,"04",3458868.974,5439761.453,110.918389654083,11.8303603459173,11.30625
Nord,,"4344",Gebäude 445,Spitz-Ahorn,Acer platanoides,Einzelbaum,,26.09.2019,2021 Q1,Zapf,1-verkehrssicher,1-höher,1-vital,2-Erwachsener Baum,"123","15","10","1980",,0-keine Schäden,01-Verletzung,2-deutliche Schäden,01-Verletzung,1-leichte Schäden,1-normal,,,"04",3458731.647,5439959.778,110.43890056395,15.465309962366,14.1626315789474
Nord,,"10037",Nordeingang,Rotbuche,Fagus sylvatica,Einzelbaum,,14.10.2019,2021 Q2,Zapf,1-verkehrssicher,1-höher,3-sehr geschwächt,2-Erwachsener Baum,"104","20","10","1970",,0-keine Schäden,,0-keine Schäden,01-Verletzung | 08-Wipfeldürre,2-deutliche Schäden,1-normal,,,"10",3459092.053,5442051.203,0,,
Nord,,"3289",Gebäude 341,Schwarznuss,Juglans nigra,Einzelbaum,,24.09.2019,2020 Q2,Zapf,1-verkehrssicher,2-normal,2-geschwächt,4-Schadbaum,"110","18","9","1985",,0-keine Schäden,01-Verletzung,1-leichte Schäden,08-Wipfeldürre,3-erhebliche Schäden,1-normal,,,"03",3458473.78812578,5440039.55447576,110.40904448663,13.9259555133696,12.795
Nord,,"4283",Friedrichstaler Straße ,Stiel-Eiche,Quercus robur,Einzelbaum,,07.10.2019,2021 Q2,Zapf,1-verkehrssicher,1-höher,1-vital,2-Erwachsener Baum,"88","14","10","1985",,0-keine Schäden,,0-keine Schäden,,0-keine Schäden,1-normal,,,"04",3458946.189,5439834.751,110.429832943119,5.83683372354733,5.25666666666666
Nord,,"10053",Nordeingang,Rotbuche,Fagus sylvatica,Einzelbaum,,14.10.2019,2020 Q3,Zapf,1-verkehrssicher,1-höher,1-vital,3-Altbaum,"167","25","13","1935",,0-keine Schäden,,0-keine Schäden,01-Verletzung | 11-Astab-/ausbruch,1-leichte Schäden,2-einseitig,,,"10",3459109.91,5442128.417,0,,
Nord,,"4035",Eggensteinerstraße,Kugel-Robinie,Robinia pseudoacacia 'Umbraculifera',Einzelbaum,,23.09.2019,2021 Q1,Zapf,1-verkehrssicher,1-höher,1-vital,2-Erwachsener Baum,"47","5","5","2000",,0-keine Schäden,,0-keine Schäden,,0-keine Schäden,1-normal,,,"04",3458557.125,5439775.494,110.750851112528,2.43057745890047,1.78571428571431
Nord,,"1107",Präsidium,"Gemeine Kiefer, Föhre",Pinus sylvestris,Einzelbaum,,23.09.2019,2021 Q1,Zapf,3-wiederherstellbar,1-höher,1-vital,2-Erwachsener Baum,"163","24","10","1960",,0-keine Schäden,,0-keine Schäden,01-Verletzung | 02-Höhlung | 07-Totholz | 14-Baumfremder Bewuchs,2-deutliche Schäden,1-normal,,,"01",3458348.42737701,5439699.59342669,110.755857502223,22.1891424977767,15.0285294117647
Nord,,"4243",Gebäude 436 ,Hainbuche,Carpinus betulus,Einzelbaum,,07.10.2019,2021 Q2,Zapf,1-verkehrssicher,3-geringer,1-vital,2-Erwachsener Baum,"113","17","12","1980",,0-keine Schäden,,0-keine Schäden,,0-keine Schäden,1-normal,,,"04",3458803.793,5439871.414,111.452505979984,12.9468690200158,12.258125
