"Campus";"Hausnummer";"Baumnummer";"Genauer Standort";"Art deutsch";"Art botanisch";"Einzelbaum/Gruppe";"Anzahl Bäume (Gruppe)";"Datum Kontrolle";"Nächste Kontrolle";"Kontrolleur";"Verkehrssicherheit";"Funktion";"Vitalität";"Physiologie";"O Stamm";"Höhe";"Ø Krone";"Pflanzjahr";"Symptom Wurzel";"Bewertung Wurzel";"Symptom Stamm";"Bewertung Stamm";"Symptom Krone";"Bewertung Krone";"Kronenform";"Symptom Gruppe";"Bewertung Gruppe";"Bereich";"Koordinate X";"Koordinate Y";"lilalu";"Height_DEM";"tüdldü";"tudldu"
Nord;;1014;Parkplatz Einfahrt;Linde;Tilia x;Einzelbaum;;"20.09.2019";"2021 Q1";Zapf;"1-verkehrssicher";"1-höher";"1-vital";"2-Erwachsener Baum";148;24;12;1960;"01-Verletzung";"2-deutliche Schäden";"01-Verletzung";"1-leichte Schäden";;"0-keine Schäden";"1-normal";;;"01";3458209.351;5439415.687;"00012D1600006891EDAC50624A41D9CEF7EBEDBF54416891EDAC50624A41D9CEF7EBEDBF54417C010000006891EDAC50624A41D9CEF7EBEDBF5441FE";111.63388285401692;;
Nord;;4365;Gebäude 441;Rot-Fichte;Picea abies;Einzelbaum;;"24.09.2019";"2021 Q1";Zapf;"1-verkehrssicher";"1-höher";"1-vital";"2-Erwachsener Baum";163;22;10;1970;"01-Verletzung";"2-deutliche Schäden";;"0-keine Schäden";;"0-keine Schäden";"1-normal";;;"04";3458589.03712591;5439991.49947573;"00012D160000B58AC0840E634A410D69F7DF7DC05441B58AC0840E634A410D69F7DF7DC054417C01000000B58AC0840E634A410D69F7DF7DC05441FE";110.79472003952063;;
Nord;;14;Tramhaltestelle;Gem. Rosskastanie;Aesculus hippocastanum;Einzelbaum;;"08.10.2019";"2021 Q2";Zapf;"1-verkehrssicher";"1-höher";"2-geschwächt";"2-Erwachsener Baum";123;15;9;1975;;"0-keine Schäden";"01-Verletzung | 02-Höhlung";"2-deutliche Schäden";"01-Verletzung";"1-leichte Schäden";"1-normal";;;"00";3458542.48812585;5440139.65247581;"00012D16000069E87A3EF7624A41E629C2E9A2C0544169E87A3EF7624A41E629C2E9A2C054417C0100000069E87A3EF7624A41E629C2E9A2C05441FE";110.49087310357868;;
Nord;;3076;Gebäude 305;Rot-Fichte;Picea abies;Einzelbaum;;"25.09.2019";"2021 Q1";Zapf;"1-verkehrssicher";"1-höher";"1-vital";"2-Erwachsener Baum";88;18;7;1985;"01-Verletzung";"1-leichte Schäden";"01-Verletzung";"1-leichte Schäden";;"0-keine Schäden";"1-normal";;;"03";3458305.26012561;5439918.95847569;"00012D160000C6CB4BA180624A416CAA57BD6BC05441C6CB4BA180624A416CAA57BD6BC054417C01000000C6CB4BA180624A416CAA57BD6BC05441FE";110.79944029548585;;
Nord;;4270;Gebäude 432;Hainbuche;Carpinus betulus;Einzelbaum;;"07.10.2019";"2021 Q2";Zapf;"1-verkehrssicher";"1-höher";"1-vital";"2-Erwachsener Baum";53;10;5;2005;;"0-keine Schäden";"11-Stamm- Stockaustriebe";"1-leichte Schäden";;"0-keine Schäden";"1-normal";;;"04";3458752.651;5439828.533;"00012D160000CFF7535360634A4108AC1C2255C05441CFF7535360634A4108AC1C2255C054417C01000000CFF7535360634A4108AC1C2255C05441FE";110.9424649327315;;
Nord;;4196;Weingartener Straße ;Bunter Eschen-Ahorn;Acer negundo 'Variegatum';Einzelbaum;;"27.09.2019";"2021 Q1";Zapf;"3-wiederherstellbar";"1-höher";"1-vital";"2-Erwachsener Baum";57;11;11;1995;;"0-keine Schäden";"01-Verletzung";"1-leichte Schäden";"01-Verletzung | 07-Totholz";"1-leichte Schäden";"3-ausladend";;;"04";3458751.59312608;5439919.13147567;"00012D1600002E8EEBCB5F634A41EE186AC86BC054412E8EEBCB5F634A41EE186AC86BC054417C010000002E8EEBCB5F634A41EE186AC86BC05441FE";110.59608429135142;;
Nord;;60;Turm;Japanische Lärche;Larix kaempferi;Einzelbaum;;"09.10.2019";"2021 Q2";Zapf;"1-verkehrssicher";"1-höher";"2-geschwächt";"2-Erwachsener Baum";151;22;8;1970;"01-Verletzung";"1-leichte Schäden";;"0-keine Schäden";;"0-keine Schäden";"2-einseitig";;;"00";3458614.05612591;5440427.60147598;"00012D16000042222F071B634A411C957EE6EAC0544142222F071B634A411C957EE6EAC054417C0100000042222F071B634A411C957EE6EAC05441FE";110.31827753363538;;
Nord;;1054;Fortbildungszentrum;Douglasie;Pseudotsuga menziesii;Einzelbaum;;"19.09.2019";"2021 Q1";Zapf;"1-verkehrssicher";"2-normal";"1-vital";"2-Erwachsener Baum";163;22;9;1970;;"0-keine Schäden";;"0-keine Schäden";;"0-keine Schäden";"1-normal";;;"01";3458202.35812552;5439492.52847545;"00012D1600009A0ED72D4D624A41B28AD22101C054419A0ED72D4D624A41B28AD22101C054417C010000009A0ED72D4D624A41B28AD22101C05441FE";111.50369818474124;;
Nord;;4368;Gebäude 441;Weiss-/Sandbirke;Betula pendula;Einzelbaum;;"24.09.2019";"2021 Q1";Zapf;"1-verkehrssicher";"1-höher";"2-geschwächt";"2-Erwachsener Baum";141;21;13;1975;;"0-keine Schäden";;"0-keine Schäden";"01-Verletzung | 08-Wipfeldürre";"1-leichte Schäden";"1-normal";;;"04";3458567.72212588;5439990.30447573;"00012D160000EF9E6EDC03634A41C6877C937DC05441EF9E6EDC03634A41C6877C937DC054417C01000000EF9E6EDC03634A41C6877C937DC05441FE";110.62490220362648;;
Nord;;4394;Gebäude 441;Tulpenbaum;Liriodendron tulipifera;Einzelbaum;;"26.09.2019";"2021 Q1";Zapf;"1-verkehrssicher";"2-normal";"1-vital";"2-Erwachsener Baum";138;23;9;1980;;"0-keine Schäden";"01-Verletzung";"1-leichte Schäden";"01-Verletzung";"1-leichte Schäden";"2-einseitig";;;"04";3458576.671;5440034.332;"00012D160000F853E35508634A41EE7C3F9588C05441F853E35508634A41EE7C3F9588C054417C01000000F853E35508634A41EE7C3F9588C05441FE";110.92864161193758;;
